municipio,uf,regiao,ano,meta,target
Santa Rosa de Goiás,GO,Centro-Oeste,2024,80.0,1
Taquaritinga,SP,Sudeste,2024,65.07,1
Gavião Peixoto,SP,Sudeste,2024,68.99,1
Itapiranga,SC,Sul,2024,72.9,1
Matão,SP,Sudeste,2024,66.95,0
Nova Mutum,MT,Centro-Oeste,2024,66.79,1
Gurinhatã,MG,Sudeste,2024,77.39,1
Salto de Pirapora,SP,Sudeste,2024,49.9,1
Novo Alegre,TO,Norte,2024,72.98,0
Quilombo,SC,Sul,2024,69.21,1
Taquarussu,MS,Centro-Oeste,2024,79.02,1
Jequeri,MG,Sudeste,2024,61.2,1
Viadutos,RS,Sul,2024,80.0,1
Guaraci,SP,Sudeste,2024,74.77,0
Santa Bárbara d'Oeste,SP,Sudeste,2024,58.84,1
Cruzeiro do Iguaçu,PR,Sul,2024,80.0,1
Romaria,MG,Sudeste,2024,61.43,1
Cambuquira,MG,Sudeste,2024,71.0,1
Itatiba,SP,Sudeste,2024,67.53,1
Formiga,MG,Sudeste,2024,69.05,1
Salgadinho,PB,Nordeste,2024,73.86,1
Embu-Guaçu,SP,Sudeste,2024,51.94,1
Pratápolis,MG,Sudeste,2024,65.46,1
Nova Aliança,SP,Sudeste,2024,61.36,1
Buriti de Goiás,GO,Centro-Oeste,2024,80.0,1
Viadutos,RS,Sul,2024,80.0,1
Curimatá,PI,Nordeste,2024,70.09,1
Novo Mundo,MT,Centro-Oeste,2024,57.99,1
Itápolis,SP,Sudeste,2024,68.83,1
Luiz Alves,SC,Sul,2024,80.0,0
Itacambira,MG,Sudeste,2024,78.78,1
Santa Albertina,SP,Sudeste,2024,67.95,0
Canabrava do Norte,MT,Centro-Oeste,2024,41.47,1
Porto Grande,AP,Norte,2024,67.62,1
Santa Rosa de Viterbo,SP,Sudeste,2024,75.23,1
Mirassolândia,SP,Sudeste,2024,62.66,0
Itaguara,MG,Sudeste,2024,60.81,1
Pilõezinhos,PB,Nordeste,2024,80.0,0
Cruzeta,RN,Nordeste,2024,56.46,1
Queluz,SP,Sudeste,2024,64.92,1
Pato Bragado,PR,Sul,2024,80.0,1
Carmo do Paranaíba,MG,Sudeste,2024,71.94,1
São José do Rio Pardo,SP,Sudeste,2024,52.98,1
Novo Santo Antônio,MT,Centro-Oeste,2024,72.61,0
Ribeirãozinho,MT,Centro-Oeste,2024,54.05,0
Taiobeiras,MG,Sudeste,2024,70.99,1
Perdizes,MG,Sudeste,2024,69.85,1
Cariré,CE,Nordeste,2024,80.0,1
Boa Vista do Cadeado,RS,Sul,2024,72.77,0
Flórida,PR,Sul,2024,65.64,1
Carrapateira,PB,Nordeste,2024,70.72,1
