municipio,uf,meta,resultado,diferenca,ano
Fronteira dos Vales,MG,43.82,80.0,36.18,2024
Ubiretama,RS,80.0,55.6,-24.4,2024
Olímpio Noronha,MG,65.19,94.29,29.10000000000001,2024
Angélica,MS,80.0,74.18,-5.819999999999993,2024
Israelândia,GO,80.0,92.59,12.590000000000003,2024
Santa Cecília do Pavão,PR,80.0,80.09,0.09000000000000341,2024
Buriticupu,MA,45.58,100.0,54.42,2024
Colorado,RS,66.33,90.0,23.67,2024
Monte Formoso,MG,54.82,82.61,27.79,2024
Reduto,MG,45.77,100.0,54.23,2024
Altamira do Maranhão,MA,80.0,73.02,-6.980000000000004,2024
Poço Redondo,SE,23.75,26.61,2.8599999999999994,2024
Piranhas,AL,31.96,25.08,-6.880000000000003,2024
Curaçá,BA,36.77,22.94,-13.830000000000002,2024
Garrafão do Norte,PA,44.45,32.89,-11.560000000000002,2024
Catende,PE,50.3,21.83,-28.47,2024
Augusto Corrêa,PA,44.99,43.99,-1.0,2024
Santa Bárbara do Pará,PA,44.15,46.35,2.200000000000003,2024
Itiúba,BA,34.97,21.05,-13.919999999999998,2024
Itambé,BA,29.39,26.98,-2.41,2024
Santa Maria da Vitória,BA,39.29,26.29,-13.0,2024
Barra,BA,34.04,28.48,-5.559999999999999,2024
São João de Pirabas,PA,36.94,40.76,3.8200000000000003,2024
Guajará-Mirim,RO,47.82,45.65,-2.1700000000000017,2024
São Benedito do Rio Preto,MA,52.21,38.29,-13.920000000000002,2024
Cachoeira do Arari,PA,56.72,35.33,-21.39,2024
Uarini,AM,19.75,18.08,-1.6700000000000017,2024
Guajará-Mirim,RO,47.82,43.07,-4.75,2024
Cachoeira do Arari,PA,56.72,33.12,-23.6,2024
Santa Maria das Barreiras,PA,58.01,42.45,-15.559999999999995,2024
Cerro Azul,PR,58.95,49.89,-9.060000000000002,2024
Cardoso Moreira,RJ,38.93,34.97,-3.960000000000001,2024
Queimadas,BA,34.54,30.32,-4.219999999999999,2024
Teofilândia,BA,35.23,29.57,-5.659999999999997,2024
Faro,PA,55.82,51.79,-4.030000000000001,2024
Viseu,PA,41.1,38.21,-2.8900000000000006,2024
Juruá,AM,46.8,47.46,0.6600000000000037,2024
Maracanã,PA,69.99,47.51,-22.479999999999997,2024
Esplanada,BA,26.95,23.96,-2.9899999999999984,2024
São Francisco do Conde,BA,37.11,25.66,-11.45,2024
Jucati,PE,49.83,68.81,18.980000000000004,2024
Barcelos,AM,53.75,38.21,-15.54,2024
Rodelas,BA,30.48,28.4,-2.080000000000002,2024
Ribeira do Amparo,BA,35.87,33.95,-1.9199999999999946,2024
Japeri,RJ,45.46,36.88,-8.579999999999998,2024
Mangaratiba,RJ,52.84,40.95,-11.89,2024
Ourém,PA,53.68,53.67,-0.00999999999999801,2024
Moju,PA,39.09,34.29,-4.800000000000004,2024
Itabela,BA,38.14,24.92,-13.219999999999999,2024
Jacundá,PA,46.69,37.87,-8.82,2024
Mirinzal,MA,80.0,69.37,-10.629999999999995,2024
Ubaitaba,BA,36.89,31.13,-5.760000000000002,2024
Caldeirão Grande,BA,28.45,28.19,-0.259999999999998,2024
Maracaçumé,MA,61.61,41.67,-19.939999999999998,2024
Rodelas,BA,30.48,26.35,-4.129999999999999,2024
Primavera,PA,54.05,49.94,-4.109999999999999,2024
